date,channel,campaign_name,spend,impressions,clicks,conversions,revenue
2025-08-02,Google Ads,Search_Q4,5109.85,110175,2209,47,15622.31
2025-08-02,Google Ads,Display_Retargeting,12429.43,72435,934,32,55575.72
2025-08-02,Google Ads,Shopping_Campaign,6833.26,116557,2941,79,27035.33
2025-08-02,Meta Ads,Retargeting_Aug,6248.04,126082,3350,108,14873.96
2025-08-02,Meta Ads,Prospecting_Q3,9614.18,90568,1475,28,32513.1
2025-08-02,Meta Ads,Engagement_Campaign,8478.46,55891,1328,32,29592.76
2025-08-02,Meta Ads,Conversion_Ads,4855.44,132766,2774,120,12017.42
2025-08-02,Instagram,Influencer_Collab,5251.04,87659,3341,123,12940.11
2025-08-02,Instagram,Story_Ads,7355.89,184776,5336,150,17914.05
2025-08-02,Instagram,Reels_Promotion,3614.48,195815,7345,226,9434.71
2025-08-02,Instagram,Feed_Campaign,5304.78,172181,6444,239,18056.28
2025-08-02,LinkedIn,B2B_Campaign,3837.23,14720,151,8,17027.17
2025-08-02,LinkedIn,Thought_Leadership,1710.9,15157,262,6,5533.36
2025-08-02,LinkedIn,Lead_Gen_Q3,3523.75,30035,514,16,16642.26
2025-08-02,LinkedIn,Lead_Gen_Q4,2477.16,20800,383,18,12615.94
2025-08-02,Email,Newsletter_Promo,2904.36,85464,2964,183,18669.83
2025-08-02,Email,Welcome_Series,1580.77,117840,5851,547,12186.13
2025-08-02,Email,Cart_Abandonment,3343.4,80210,4719,328,20673.41
2025-08-02,Email,Re_engagement,3111.85,62461,1949,153,19044.17
2025-08-02,SEO,Content_Marketing,6672.52,174010,7430,332,27051.05
2025-08-02,SEO,Link_Building,6605.75,105663,4659,319,46144.69
2025-08-02,SEO,Technical_SEO,3119.47,100062,4100,174,14328.43
2025-08-02,SEO,Local_SEO,4562.41,171700,6317,333,19801.4
2025-08-02,Influencer,Micro_Influencers,20300.14,447016,5722,136,84629.4
2025-08-02,Influencer,Macro_Influencers,22815.37,359104,8636,175,59153.36
2025-08-02,Influencer,Brand_Ambassadors,24187.22,393034,10746,354,76930.46
2025-08-02,Influencer,UGC_Campaign,18030.33,389488,8957,252,71195.29
2025-08-03,Google Ads,Search_Q3,12276.04,82475,1444,32,44888.08
2025-08-03,Google Ads,Search_Q4,5101.92,95490,1991,56,18783.57
2025-08-03,Google Ads,Display_Retargeting,5056.2,51809,1370,42,13925.39
2025-08-03,Google Ads,Shopping_Campaign,9186.84,126539,1811,70,24535.25
2025-08-03,Meta Ads,Retargeting_Aug,3972.11,114574,2799,98,14506.87
2025-08-03,Meta Ads,Prospecting_Q3,10626.13,112858,2192,86,29133.28
2025-08-03,Meta Ads,Engagement_Campaign,6760.59,62944,792,34,26176.74
2025-08-03,Meta Ads,Conversion_Ads,8611.01,100620,1608,35,23253.91
2025-08-03,Instagram,Influencer_Collab,6624.9,170614,5375,118,24636.4
2025-08-03,Instagram,Story_Ads,7870.12,148500,4498,114,19249.65
2025-08-03,Instagram,Reels_Promotion,5349.42,176582,2712,48,11141.8
2025-08-03,Instagram,Feed_Campaign,3268.81,190053,6194,166,7113.26
2025-08-03,LinkedIn,B2B_Campaign,3331.83,24531,255,10,12914.05
2025-08-03,LinkedIn,Thought_Leadership,3749.26,28604,246,9,16833.51
2025-08-03,LinkedIn,Lead_Gen_Q3,3370.54,34183,588,18,10079.72
2025-08-03,LinkedIn,Lead_Gen_Q4,3838.53,13268,214,12,16712.12
2025-08-03,Email,Newsletter_Promo,2042.14,91463,4839,351,17960.88
2025-08-03,Email,Welcome_Series,2035.53,116895,8798,455,11689.57
2025-08-03,Email,Cart_Abandonment,1122.49,41457,1439,116,6453.37
2025-08-03,Email,Re_engagement,1820.72,107590,3352,297,11810.09
2025-08-03,SEO,Content_Marketing,2149.91,140575,4917,320,14130.82
2025-08-03,SEO,Link_Building,5919.15,86664,1975,118,40391.82
2025-08-03,SEO,Technical_SEO,6947.78,103640,2906,177,36078.52
2025-08-03,SEO,Local_SEO,6619.17,161593,4780,286,43957.25
2025-08-03,Influencer,Micro_Influencers,10062.48,420765,8459,262,26807.79
2025-08-03,Influencer,Macro_Influencers,25910.46,266760,2725,89,53025.08
2025-08-03,Influencer,Brand_Ambassadors,14386.27,435018,12620,317,50437.69
2025-08-03,Influencer,UGC_Campaign,16968.91,237963,3943,108,65014.87
2025-08-04,Google Ads,Search_Q3,19082.11,214235,2533,88,49901.96
2025-08-04,Google Ads,Search_Q4,15693.4,155060,4303,131,42907.86
2025-08-04,Google Ads,Display_Retargeting,10001.88,209456,4684,107,26687.15
2025-08-04,Google Ads,Shopping_Campaign,17813.57,92369,2441,100,47432.15
2025-08-04,Meta Ads,Retargeting_Aug,7018.05,277461,5717,160,26848.25
2025-08-04,Meta Ads,Prospecting_Q3,17366.98,277340,8133,229,41107.67
2025-08-04,Meta Ads,Engagement_Campaign,15325.76,196096,4266,181,37125.04
2025-08-04,Meta Ads,Conversion_Ads,11911.5,92157,2099,40,29035.9
2025-08-04,Instagram,Influencer_Collab,6292.79,269318,9062,268,23484.13
2025-08-04,Instagram,Story_Ads,9123.58,185713,6818,140,34065.63
2025-08-04,Instagram,Reels_Promotion,5133.7,343072,5516,205,15143.71
2025-08-04,Instagram,Feed_Campaign,15922.61,136973,3951,155,46837.57
2025-08-04,LinkedIn,B2B_Campaign,6324.63,50221,721,33,27687.01
2025-08-04,LinkedIn,Thought_Leadership,7846.48,22908,273,15,40830.82
2025-08-04,LinkedIn,Lead_Gen_Q3,5351.68,47045,559,17,21684.93
2025-08-04,LinkedIn,Lead_Gen_Q4,4778.77,45513,413,24,26105.32
2025-08-04,Email,Newsletter_Promo,3034.12,82887,3769,334,23959.11
2025-08-04,Email,Welcome_Series,1320.37,112874,8028,778,10615.8
2025-08-04,Email,Cart_Abandonment,2762.93,73459,5629,517,15633.39
2025-08-04,Email,Re_engagement,884.37,70117,4945,490,5329.62
2025-08-04,SEO,Content_Marketing,4767.72,99515,4397,280,33060.09
2025-08-04,SEO,Link_Building,4077.81,103926,2637,85,28652.85
2025-08-04,SEO,Technical_SEO,5970.96,179963,8081,421,39954.42
2025-08-04,SEO,Local_SEO,6696.21,160454,3959,190,29811.91
2025-08-04,Influencer,Micro_Influencers,27081.02,331852,4836,132,93942.6
2025-08-04,Influencer,Macro_Influencers,15163.25,184067,4312,103,58913.16
2025-08-04,Influencer,Brand_Ambassadors,18403.27,405654,8534,212,76685.78
2025-08-04,Influencer,UGC_Campaign,16069.66,190204,2011,59,55839.43
2025-08-05,Google Ads,Search_Q3,17857.12,116203,1478,30,57163.77
2025-08-05,Google Ads,Search_Q4,16258.85,146681,2750,129,51971.59
2025-08-05,Google Ads,Display_Retargeting,15195.85,213221,3823,147,64198.32
2025-08-05,Google Ads,Shopping_Campaign,21293.29,105002,2995,104,64230.97
2025-08-05,Meta Ads,Retargeting_Aug,11509.63,276206,6443,173,39901.6
2025-08-05,Meta Ads,Prospecting_Q3,8881.75,104414,1562,33,22238.17
2025-08-05,Meta Ads,Engagement_Campaign,7665.93,211766,3427,93,30614.48
2025-08-05,Meta Ads,Conversion_Ads,11687.54,216835,3461,80,26667.9
2025-08-05,Instagram,Influencer_Collab,6858.29,184075,3575,61,15205.82
2025-08-05,Instagram,Story_Ads,10068.57,167456,4036,111,32649.46
2025-08-05,Instagram,Reels_Promotion,5432.43,303864,9327,158,19407.04
2025-08-05,Instagram,Feed_Campaign,15129.6,134047,2938,103,50636.77
2025-08-05,LinkedIn,B2B_Campaign,3833.32,29792,392,16,17132.21
2025-08-05,LinkedIn,Thought_Leadership,4865.92,40426,746,19,16941.09
2025-08-05,LinkedIn,Lead_Gen_Q3,6794.76,58598,888,38,20991.49
2025-08-05,LinkedIn,Lead_Gen_Q4,5305.51,43369,494,17,20259.98
2025-08-05,Email,Newsletter_Promo,864.23,65766,2668,159,5115.52
2025-08-05,Email,Welcome_Series,3649.69,87487,5595,488,26440.35
2025-08-05,Email,Cart_Abandonment,1078.14,82968,4923,417,7558.63
2025-08-05,Email,Re_engagement,1208.26,62702,3019,237,9059.2
2025-08-05,SEO,Content_Marketing,3458.53,178246,6123,241,15066.18
2025-08-05,SEO,Link_Building,2340.73,81974,1831,68,11698.58
2025-08-05,SEO,Technical_SEO,2453.55,166579,3359,171,13338.45
2025-08-05,SEO,Local_SEO,6903.08,64565,1855,127,48523.65
2025-08-05,Influencer,Micro_Influencers,24341.44,227370,3050,83,104894.94
2025-08-05,Influencer,Macro_Influencers,19135.26,321483,5015,148,44107.12
2025-08-05,Influencer,Brand_Ambassadors,14473.58,277630,5594,98,30540.11
2025-08-05,Influencer,UGC_Campaign,20212.4,236589,5116,79,62639.81
2025-08-06,Google Ads,Search_Q3,15456.25,88810,1485,35,40599.7
2025-08-06,Google Ads,Search_Q4,21859.44,134800,3531,97,84443.14
2025-08-06,Google Ads,Display_Retargeting,18643.19,181258,3522,113,59616.01
2025-08-06,Google Ads,Shopping_Campaign,21013.41,221205,6481,153,83249.56
2025-08-06,Meta Ads,Retargeting_Aug,17260.09,124434,1683,63,57803.11
2025-08-06,Meta Ads,Prospecting_Q3,16101.95,116556,3530,82,40694.65
2025-08-06,Meta Ads,Engagement_Campaign,7971.19,244769,6682,214,23257.23
2025-08-06,Meta Ads,Conversion_Ads,16526.41,164564,5065,151,48817.18
2025-08-06,Instagram,Influencer_Collab,10089.48,189316,6378,175,24396.19
2025-08-06,Instagram,Story_Ads,14895.32,208294,5954,224,46527.44
2025-08-06,Instagram,Reels_Promotion,6285.88,336161,10317,241,14147.57
2025-08-06,Instagram,Feed_Campaign,13734.28,262616,7441,277,46964.03
2025-08-06,LinkedIn,B2B_Campaign,3649.38,34092,391,19,10548.67
2025-08-06,LinkedIn,Thought_Leadership,5991.38,53023,1075,39,30061.12
2025-08-06,LinkedIn,Lead_Gen_Q3,3419.54,56550,553,21,16935.95
2025-08-06,LinkedIn,Lead_Gen_Q4,3639.54,30628,554,27,16491.11
2025-08-06,Email,Newsletter_Promo,3020.64,83417,3552,215,18533.41
2025-08-06,Email,Welcome_Series,3707.04,86671,4337,293,32679.38
2025-08-06,Email,Cart_Abandonment,1290.72,86898,4804,368,7180.77
2025-08-06,Email,Re_engagement,3590.8,114569,6674,545,31343.19
2025-08-06,SEO,Content_Marketing,5389.81,69830,2343,127,29560.18
2025-08-06,SEO,Link_Building,5550.44,171467,7371,354,24401.58
2025-08-06,SEO,Technical_SEO,6916.63,159056,3398,227,48725.15
2025-08-06,SEO,Local_SEO,4353.61,126865,3650,117,22522.05
2025-08-06,Influencer,Micro_Influencers,24057.07,151389,2523,53,78208.77
2025-08-06,Influencer,Macro_Influencers,26397.11,253903,4300,124,79745.36
2025-08-06,Influencer,Brand_Ambassadors,12492.1,285731,3662,58,39295.06
2025-08-06,Influencer,UGC_Campaign,16378.51,424453,7320,185,57441.29
2025-08-07,Google Ads,Search_Q3,8183.32,192801,2614,127,22891.41
2025-08-07,Google Ads,Search_Q4,13804.74,94509,2829,99,50950.12
2025-08-07,Google Ads,Display_Retargeting,8939.07,207493,2946,138,26015.19
2025-08-07,Google Ads,Shopping_Campaign,10669.63,86213,1676,61,28076.25
2025-08-07,Meta Ads,Retargeting_Aug,15306.33,176124,4237,126,45942.35
2025-08-07,Meta Ads,Prospecting_Q3,12715.68,119495,1933,79,52035.5
2025-08-07,Meta Ads,Engagement_Campaign,10479.71,141441,3792,110,23587.45
2025-08-07,Meta Ads,Conversion_Ads,7873.83,226034,6138,114,20817.97
2025-08-07,Instagram,Influencer_Collab,7541.82,274535,4253,74,25942.72
2025-08-07,Instagram,Story_Ads,6963.99,270131,5660,98,16976.19
2025-08-07,Instagram,Reels_Promotion,12944.94,316810,11327,282,41456.86
2025-08-07,Instagram,Feed_Campaign,7254.83,187423,7011,107,15626.29
2025-08-07,LinkedIn,B2B_Campaign,3964.16,22114,233,10,15610.25
2025-08-07,LinkedIn,Thought_Leadership,7798.96,55332,707,24,29832.34
2025-08-07,LinkedIn,Lead_Gen_Q3,6105.65,32258,539,21,26196.46
2025-08-07,LinkedIn,Lead_Gen_Q4,5242.31,33367,709,36,16661.66
2025-08-07,Email,Newsletter_Promo,3579.1,78994,5903,519,25011.64
2025-08-07,Email,Welcome_Series,871.9,61494,3510,273,5582.43
2025-08-07,Email,Cart_Abandonment,1245.94,106794,8460,605,7601.33
2025-08-07,Email,Re_engagement,1671.38,41471,3139,147,12565.11
2025-08-07,SEO,Content_Marketing,3007.3,122043,4343,274,14201.9
2025-08-07,SEO,Link_Building,1560.48,67795,2867,186,9504.8
2025-08-07,SEO,Technical_SEO,4802.84,136454,3102,206,26250.87
2025-08-07,SEO,Local_SEO,3607.26,117459,2263,82,23747.02
2025-08-07,Influencer,Micro_Influencers,9655.97,330945,4933,103,24907.31
2025-08-07,Influencer,Macro_Influencers,15113.45,365713,5830,145,46630.07
2025-08-07,Influencer,Brand_Ambassadors,21273.42,431048,10625,180,40083.26
2025-08-07,Influencer,UGC_Campaign,13245.28,328523,3623,84,45185.95
2025-08-08,Google Ads,Search_Q3,12679.41,211055,2560,56,50164.53
2025-08-08,Google Ads,Search_Q4,14936.88,197028,3683,100,61811.87
2025-08-08,Google Ads,Display_Retargeting,19191.82,198098,3059,115,61835.04
2025-08-08,Google Ads,Shopping_Campaign,9282.15,235943,3005,145,31485.16
2025-08-08,Meta Ads,Retargeting_Aug,8221.6,192961,6189,233,31349.97
2025-08-08,Meta Ads,Prospecting_Q3,13905.4,221532,6985,172,44203.18
2025-08-08,Meta Ads,Engagement_Campaign,8654.51,277656,9360,178,31252.74
2025-08-08,Meta Ads,Conversion_Ads,17102.98,124309,3115,133,38787.71
2025-08-08,Instagram,Influencer_Collab,12671.62,188390,7179,281,46880.94
2025-08-08,Instagram,Story_Ads,10216.36,318269,11493,264,35676.02
2025-08-08,Instagram,Reels_Promotion,5407.08,257142,5335,96,11563.13
2025-08-08,Instagram,Feed_Campaign,12659.18,198171,6563,109,32502.73
2025-08-08,LinkedIn,B2B_Campaign,5821.15,54210,675,31,30224.23
2025-08-08,LinkedIn,Thought_Leadership,6248.83,30784,256,14,17855.58
2025-08-08,LinkedIn,Lead_Gen_Q3,7698.33,43215,913,48,42297.87
2025-08-08,LinkedIn,Lead_Gen_Q4,4763.99,53221,725,30,21410.63
2025-08-08,Email,Newsletter_Promo,3595.77,118726,8122,528,25079.6
2025-08-08,Email,Welcome_Series,3160.26,59102,2099,128,20558.55
2025-08-08,Email,Cart_Abandonment,1748.19,58688,1884,77,15658.59
2025-08-08,Email,Re_engagement,2168.87,70746,4526,240,19139.98
2025-08-08,SEO,Content_Marketing,5824.9,61623,1803,117,42559.99
2025-08-08,SEO,Link_Building,4070.71,129743,2920,203,19583.58
2025-08-08,SEO,Technical_SEO,6685.02,134454,4626,233,32137.19
2025-08-08,SEO,Local_SEO,2470.9,78663,1811,110,12911.54
2025-08-08,Influencer,Micro_Influencers,9156.85,440730,12197,406,41079.93
2025-08-08,Influencer,Macro_Influencers,11477.9,268872,6766,189,25429.5
2025-08-08,Influencer,Brand_Ambassadors,24316.66,217332,3146,76,82699.45
2025-08-08,Influencer,UGC_Campaign,19601.72,177446,4888,88,42137.63
2025-08-09,Google Ads,Search_Q3,12265.48,145476,3963,175,46737.41
2025-08-09,Google Ads,Search_Q4,9427.2,56872,1033,32,28465.5
2025-08-09,Google Ads,Display_Retargeting,10876.73,98579,1145,30,42055.07
2025-08-09,Google Ads,Shopping_Campaign,5439.5,134823,2683,92,20043.55
2025-08-09,Meta Ads,Retargeting_Aug,9537.7,93650,2584,85,26076.61
2025-08-09,Meta Ads,Prospecting_Q3,9926.14,144906,3933,161,39055.28
2025-08-09,Meta Ads,Engagement_Campaign,8700.21,149419,4189,152,29904.56
2025-08-09,Meta Ads,Conversion_Ads,9019.56,72080,2325,96,20370.63
2025-08-09,Instagram,Influencer_Collab,8450.39,89784,2098,70,19346.05
2025-08-09,Instagram,Story_Ads,8398.58,186834,5172,78,21136.44
2025-08-09,Instagram,Reels_Promotion,7071.72,207403,6387,137,22213.76
2025-08-09,Instagram,Feed_Campaign,6563.9,179618,3174,107,19522.88
2025-08-09,LinkedIn,B2B_Campaign,4915.65,21215,357,20,15124.36
2025-08-09,LinkedIn,Thought_Leadership,4829.09,29934,267,9,22754.98
2025-08-09,LinkedIn,Lead_Gen_Q3,1906.3,27270,350,16,5573.07
2025-08-09,LinkedIn,Lead_Gen_Q4,4608.36,37131,800,40,14522.02
2025-08-09,Email,Newsletter_Promo,3226.44,41966,1305,77,23263.44
2025-08-09,Email,Welcome_Series,3265.3,94663,4950,279,29354.84
2025-08-09,Email,Cart_Abandonment,2163.78,76110,2905,254,17154.21
2025-08-09,Email,Re_engagement,1506.46,46590,2982,236,9726.32
2025-08-09,SEO,Content_Marketing,6729.75,69637,2066,139,36805.31
2025-08-09,SEO,Link_Building,5011.89,101687,2583,179,27227.94
2025-08-09,SEO,Technical_SEO,6417.55,79894,1897,59,40307.57
2025-08-09,SEO,Local_SEO,3526.89,162366,4997,343,16397.71
2025-08-09,Influencer,Micro_Influencers,25372.46,382979,9734,305,97804.87
2025-08-09,Influencer,Macro_Influencers,20524.41,189373,2016,66,71116.17
2025-08-09,Influencer,Brand_Ambassadors,23930.75,294456,3635,54,87371.8
2025-08-09,Influencer,UGC_Campaign,16606.12,210157,4167,56,55984.59
2025-08-10,Google Ads,Search_Q3,7059.54,129351,2096,70,17812.92
2025-08-10,Google Ads,Search_Q4,5408.55,88034,1725,65,16676.32
2025-08-10,Google Ads,Display_Retargeting,10637.85,135732,3474,73,36817.75
2025-08-10,Google Ads,Shopping_Campaign,5681.41,72688,2161,52,19872.3
2025-08-10,Meta Ads,Retargeting_Aug,8050.72,134081,3334,60,22968.08
2025-08-10,Meta Ads,Prospecting_Q3,7327.52,64016,1284,24,17272.12
2025-08-10,Meta Ads,Engagement_Campaign,6457.85,69129,1731,63,24547.41
2025-08-10,Meta Ads,Conversion_Ads,5041.08,73093,1052,37,18213.18
2025-08-10,Instagram,Influencer_Collab,3208.47,201197,3279,93,10511.94
2025-08-10,Instagram,Story_Ads,8748.4,170543,5976,140,30327.95
2025-08-10,Instagram,Reels_Promotion,3528.76,195484,5608,198,9930.54
2025-08-10,Instagram,Feed_Campaign,7247.61,144643,4815,82,15282.56
2025-08-10,LinkedIn,B2B_Campaign,2510.27,16620,335,10,13642.91
2025-08-10,LinkedIn,Thought_Leadership,2811.97,17189,327,15,11655.98
2025-08-10,LinkedIn,Lead_Gen_Q3,3546.02,30723,344,20,19261.77
2025-08-10,LinkedIn,Lead_Gen_Q4,3865.09,17628,308,8,11142.13
2025-08-10,Email,Newsletter_Promo,1624.59,77009,5653,472,13158.32
2025-08-10,Email,Welcome_Series,2161.58,67674,3285,326,12192.14
2025-08-10,Email,Cart_Abandonment,3574.5,86294,4481,374,25748.34
2025-08-10,Email,Re_engagement,3594.95,112056,5724,324,27225.37
2025-08-10,SEO,Content_Marketing,6518.0,77386,2694,148,42796.51
2025-08-10,SEO,Link_Building,2223.62,143057,6086,226,10743.2
2025-08-10,SEO,Technical_SEO,6842.67,73527,3019,150,33291.7
2025-08-10,SEO,Local_SEO,6289.12,107889,3441,152,38208.47
2025-08-10,Influencer,Micro_Influencers,11270.48,267324,7856,140,40271.56
2025-08-10,Influencer,Macro_Influencers,14503.8,382041,4820,165,43877.36
2025-08-10,Influencer,Brand_Ambassadors,12721.01,172049,2304,55,34472.77
2025-08-10,Influencer,UGC_Campaign,24577.67,279266,4181,109,91141.34
2025-08-11,Google Ads,Search_Q3,10338.59,108495,1164,48,39572.08
2025-08-11,Google Ads,Search_Q4,14644.83,223508,5836,219,62043.45
2025-08-11,Google Ads,Display_Retargeting,10881.78,99026,1524,33,38764.59
2025-08-11,Google Ads,Shopping_Campaign,21112.48,86688,1078,36,92214.04
2025-08-11,Meta Ads,Retargeting_Aug,9793.87,186374,2414,53,40872.37
2025-08-11,Meta Ads,Prospecting_Q3,17581.42,90938,3082,108,69197.6
2025-08-11,Meta Ads,Engagement_Campaign,11456.88,187963,4368,157,28405.07
2025-08-11,Meta Ads,Conversion_Ads,6359.68,148506,4189,98,22556.93
2025-08-11,Instagram,Influencer_Collab,15669.03,141597,4504,117,55823.36
2025-08-11,Instagram,Story_Ads,6948.65,279303,10041,387,22443.07
2025-08-11,Instagram,Reels_Promotion,10468.92,262104,9625,281,21510.46
2025-08-11,Instagram,Feed_Campaign,15240.44,278591,8890,181,48555.95
2025-08-11,LinkedIn,B2B_Campaign,5005.64,48351,458,21,27523.1
2025-08-11,LinkedIn,Thought_Leadership,3069.99,62041,849,47,15081.14
2025-08-11,LinkedIn,Lead_Gen_Q3,5975.29,52014,1055,41,22006.93
2025-08-11,LinkedIn,Lead_Gen_Q4,6538.52,54929,1025,54,25997.65
2025-08-11,Email,Newsletter_Promo,3417.07,49616,2839,114,22675.85
2025-08-11,Email,Welcome_Series,1972.68,71693,4643,293,13947.69
2025-08-11,Email,Cart_Abandonment,1560.14,69860,2889,128,11875.9
2025-08-11,Email,Re_engagement,2938.28,89559,4762,298,25039.05
2025-08-11,SEO,Content_Marketing,4354.95,112293,2099,91,23214.87
2025-08-11,SEO,Link_Building,3693.53,125422,4064,220,24662.04
2025-08-11,SEO,Technical_SEO,5971.42,143355,6278,192,27977.43
2025-08-11,SEO,Local_SEO,1541.6,134171,5668,225,11168.31
2025-08-11,Influencer,Micro_Influencers,9205.35,430330,7329,105,28645.7
2025-08-11,Influencer,Macro_Influencers,13135.53,235461,3801,115,42765.81
2025-08-11,Influencer,Brand_Ambassadors,14226.15,333100,8101,148,41491.74
2025-08-11,Influencer,UGC_Campaign,10437.72,204344,4827,78,33587.97
2025-08-12,Google Ads,Search_Q3,17926.65,98169,2095,58,79340.73
2025-08-12,Google Ads,Search_Q4,14769.64,217018,4558,97,55626.94
2025-08-12,Google Ads,Display_Retargeting,21319.65,182274,4809,223,63024.29
2025-08-12,Google Ads,Shopping_Campaign,10968.63,183866,3350,151,47165.62
2025-08-12,Meta Ads,Retargeting_Aug,10241.06,135005,4043,102,39379.22
2025-08-12,Meta Ads,Prospecting_Q3,11084.86,216834,3078,107,34402.25
2025-08-12,Meta Ads,Engagement_Campaign,13039.3,121922,3529,145,34338.73
2025-08-12,Meta Ads,Conversion_Ads,7148.57,94491,2529,86,23543.06
2025-08-12,Instagram,Influencer_Collab,7551.42,209908,6268,171,28529.37
2025-08-12,Instagram,Story_Ads,6500.84,279883,7027,180,21398.66
2025-08-12,Instagram,Reels_Promotion,12616.8,347988,6336,111,41683.51
2025-08-12,Instagram,Feed_Campaign,11362.26,183056,3109,53,41012.57
2025-08-12,LinkedIn,B2B_Campaign,3874.46,34581,386,14,11574.73
2025-08-12,LinkedIn,Thought_Leadership,5706.73,23839,457,15,24299.44
2025-08-12,LinkedIn,Lead_Gen_Q3,7728.44,48336,747,27,28588.31
2025-08-12,LinkedIn,Lead_Gen_Q4,6549.13,62753,1083,48,31257.4
2025-08-12,Email,Newsletter_Promo,2288.66,44811,2604,253,13991.86
2025-08-12,Email,Welcome_Series,3008.02,56074,3184,145,21285.65
2025-08-12,Email,Cart_Abandonment,3219.72,67805,4288,376,28156.85
2025-08-12,Email,Re_engagement,1550.85,71945,2706,269,13561.41
2025-08-12,SEO,Content_Marketing,4469.76,159464,5113,280,19273.32
2025-08-12,SEO,Link_Building,5653.99,66602,2684,164,36641.28
2025-08-12,SEO,Technical_SEO,1698.88,89406,2244,99,7316.65
2025-08-12,SEO,Local_SEO,6653.27,121994,3202,146,37026.84
2025-08-12,Influencer,Micro_Influencers,20011.89,304703,8649,202,89629.79
2025-08-12,Influencer,Macro_Influencers,25028.5,212553,6081,89,100292.06
2025-08-12,Influencer,Brand_Ambassadors,15612.47,413392,11310,345,61405.13
2025-08-12,Influencer,UGC_Campaign,14093.58,174275,3147,50,51813.19
2025-08-13,Google Ads,Search_Q3,12845.4,245853,5610,250,35518.16
2025-08-13,Google Ads,Search_Q4,20068.2,236868,4676,178,80867.21
2025-08-13,Google Ads,Display_Retargeting,10447.74,165436,2973,72,33799.16
2025-08-13,Google Ads,Shopping_Campaign,8954.41,84388,1072,52,32227.45
2025-08-13,Meta Ads,Retargeting_Aug,17589.87,172174,3300,104,54159.62
2025-08-13,Meta Ads,Prospecting_Q3,7267.98,211756,3593,124,25440.85
2025-08-13,Meta Ads,Engagement_Campaign,7824.3,101656,3045,92,18123.64
2025-08-13,Meta Ads,Conversion_Ads,17938.4,100978,2825,125,48045.5
2025-08-13,Instagram,Influencer_Collab,6564.74,147918,3340,58,21308.43
2025-08-13,Instagram,Story_Ads,5685.21,237167,9467,334,17666.19
2025-08-13,Instagram,Reels_Promotion,8368.79,263496,7424,190,18706.58
2025-08-13,Instagram,Feed_Campaign,14752.65,223450,4438,107,40502.42
2025-08-13,LinkedIn,B2B_Campaign,7434.21,51811,972,24,29168.98
2025-08-13,LinkedIn,Thought_Leadership,5495.53,21806,253,13,17421.91
2025-08-13,LinkedIn,Lead_Gen_Q3,5797.74,30038,245,8,31509.9
2025-08-13,LinkedIn,Lead_Gen_Q4,7288.61,61302,909,26,31191.54
2025-08-13,Email,Newsletter_Promo,2254.01,107548,3753,260,13580.79
2025-08-13,Email,Welcome_Series,1838.96,98988,5325,333,12653.27
2025-08-13,Email,Cart_Abandonment,2270.23,102801,7669,746,18738.85
2025-08-13,Email,Re_engagement,1809.3,95050,4931,272,15276.01
